Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Activity
04-09-2024,19:18:20,$,$,400,179,50,73,78,34.5,18.2,50.26,No Cooking
04-09-2024,19:18:25,$,$,400,177,50,73,78,34.5,18.2,50.78,No Cooking
04-09-2024,19:18:31,$,$,400,176,50,73,79,34.5,18.2,54.35,No Cooking
04-09-2024,19:18:37,$,$,400,179,50,73,79,34.5,18.2,52.31,No Cooking
04-09-2024,19:18:42,$,$,400,176,50,73,79,34.5,18.2,53,No Cooking
04-09-2024,19:18:48,$,$,400,176,50,73,79,34.5,18.2,54.02,No Cooking
04-09-2024,19:18:53,$,$,400,176,50,72,79,34.5,18.2,55.76,No Cooking
04-09-2024,19:18:59,$,$,400,167,50,72,79,34.5,18.2,52.35,No Cooking
04-09-2024,19:19:04,$,$,400,168,49,72,79,34.5,18.2,54.77,No Cooking
04-09-2024,19:19:10,$,$,400,159,49,72,78,34.6,18.2,54.01,No Cooking
04-09-2024,19:19:16,$,$,400,168,49,72,78,34.5,18.2,55.62,No Cooking
04-09-2024,19:19:21,$,$,400,167,51,73,79,34.5,18.2,51.38,No Cooking
04-09-2024,19:19:27,$,$,400,167,50,72,77,34.5,18.2,55.63,No Cooking
04-09-2024,19:19:32,$,$,400,167,49,71,77,34.6,18.2,50.66,No Cooking
04-09-2024,19:19:38,$,$,400,166,49,71,76,34.5,18.2,56.95,No Cooking
04-09-2024,19:19:44,$,$,400,169,50,72,76,34.5,18.2,54.73,No Cooking
04-09-2024,19:19:49,$,$,400,167,50,72,76,34.6,18.2,50.33,No Cooking
04-09-2024,19:19:55,$,$,400,167,49,71,75,34.5,18.2,51.12,No Cooking
04-09-2024,19:20:00,$,$,400,157,50,72,76,34.5,18.2,53.99,No Cooking
04-09-2024,19:20:06,$,$,400,158,49,71,75,34.5,18.2,54.09,No Cooking
04-09-2024,19:20:11,$,$,400,160,51,72,77,34.6,18.2,51,No Cooking
04-09-2024,19:20:17,$,$,400,155,50,71,76,34.5,18.2,51.58,No Cooking
