Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
07-09-2024,09:34:23,29.3,0.1,406,0,89,126,132,34.9,18.4,70.52,Frying and Boiling
07-09-2024,09:34:28,28.4,0.1,408,0,87,122,129,34.9,18.4,64.15,Frying and Boiling
07-09-2024,09:34:34,33.8,0.1,408,0,83,116,124,34.9,18.4,60.87,Frying and Boiling
07-09-2024,09:34:39,33.8,0.1,409,0,82,113,120,35,18.5,55.88,Frying and Boiling
07-09-2024,09:34:45,33.8,0.1,410,0,80,109,115,35,18.4,58.99,Frying and Boiling
07-09-2024,09:34:51,32.9,0.1,411,0,79,107,114,35,18.5,55.84,Frying and Boiling
07-09-2024,09:34:56,32.6,0.1,414,0,77,106,111,35,18.5,73.67,Frying and Boiling
07-09-2024,09:35:02,33.7,0.1,418,0,76,105,109,35,18.5,65.31,Frying and Boiling
07-09-2024,09:35:07,33.8,0.1,423,0,71,98,104,35,18.5,74.78,Frying and Boiling
07-09-2024,09:35:13,33.7,0.1,430,0,64,88,93,35,18.5,65.86,Frying and Boiling
07-09-2024,09:35:19,33.7,0.1,439,0,62,86,92,35,18.5,60.07,Frying and Boiling
07-09-2024,09:35:24,32.7,0.1,446,0,60,83,88,35,18.4,70.07,Frying and Boiling
07-09-2024,09:35:30,32.7,0.1,454,0,60,82,86,35,18.4,58.82,Frying and Boiling
07-09-2024,09:35:35,33.7,0.1,459,0,58,80,83,35,18.4,62.14,Frying and Boiling
07-09-2024,09:35:41,33.7,0.1,461,0,57,79,81,35,18.4,70.62,Frying and Boiling
07-09-2024,09:35:47,33.7,0.1,461,0,55,77,79,34.9,18.4,72.32,Frying and Boiling
07-09-2024,09:35:52,32.6,0.1,462,0,54,76,78,34.9,18.4,61.64,Frying and Boiling
