CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
400,78,60,82,86,34.7,18.3,53.63,No Cooking
400,81,60,83,86,34.7,18.3,50.62,No Cooking
400,88,60,83,87,34.7,18.3,54.1,No Cooking
400,79,59,83,87,34.7,18.3,54.51,No Cooking
400,73,59,83,87,34.7,18.3,55.49,No Cooking
400,76,59,83,88,34.7,18.3,52.54,No Cooking
400,76,59,83,87,34.7,18.3,52.14,No Cooking
400,76,59,83,88,34.7,18.3,53.31,No Cooking
400,74,59,83,88,34.7,18.3,56.2,No Cooking
400,83,59,83,89,34.7,18.3,51.08,No Cooking
400,75,60,83,89,34.7,18.3,52.69,No Cooking
400,77,60,83,90,34.7,18.3,55.88,No Cooking
400,75,60,82,91,34.7,18.3,50.93,No Cooking
400,77,60,82,90,34.7,18.3,51.88,No Cooking
400,69,60,83,91,34.7,18.3,51.12,No Cooking
400,65,59,82,90,34.7,18.3,53.19,No Cooking
400,68,59,81,88,34.7,18.3,54.64,No Cooking
400,64,58,81,87,34.7,18.3,55.7,No Cooking
400,66,58,80,86,34.7,18.3,55.8,No Cooking
400,64,58,80,84,34.7,18.3,55.74,No Cooking
400,61,58,79,83,34.7,18.3,54.02,No Cooking
400,63,58,79,83,34.7,18.3,56.28,No Cooking
400,58,58,78,82,34.6,18.3,55.02,No Cooking
400,61,57,77,82,34.7,18.3,55.98,No Cooking
400,52,57,77,81,34.7,18.3,55.33,No Cooking
400,53,57,76,81,34.6,18.3,51.99,No Cooking
400,54,57,76,81,34.6,18.3,51.9,No Cooking
400,55,56,76,80,34.6,18.3,55.11,No Cooking
400,52,56,76,80,34.7,18.3,55.99,No Cooking
400,52,56,76,80,34.7,18.3,51.83,No Cooking
400,54,56,77,81,34.7,18.3,56.79,No Cooking
400,49,55,76,79,34.7,18.3,53.24,No Cooking
400,49,55,77,80,34.7,18.3,55.83,No Cooking
400,46,54,76,79,34.7,18.3,51.16,No Cooking
400,52,54,76,79,34.7,18.3,51.98,No Cooking
400,43,54,76,80,34.7,18.3,51.46,No Cooking
400,40,54,76,79,34.6,18.3,51.09,No Cooking
400,36,53,75,79,34.6,18.3,56.35,No Cooking
400,36,52,74,78,34.6,18.2,54.87,No Cooking
400,42,53,74,79,34.6,18.3,56.72,No Cooking
400,41,52,74,79,34.6,18.2,51.83,No Cooking
400,37,53,75,80,34.6,18.3,53.93,No Cooking
400,41,53,75,81,34.6,18.3,53.71,No Cooking
400,30,53,74,80,34.6,18.2,53.46,No Cooking
400,31,54,75,82,34.6,18.3,55.49,No Cooking
400,33,54,75,82,34.6,18.2,53.73,No Cooking
400,31,54,76,83,34.6,18.2,55.87,No Cooking
400,30,54,76,84,34.6,18.2,56.2,No Cooking
400,22,54,76,84,34.6,18.2,50.5,No Cooking
400,27,55,77,84,34.6,18.2,54.37,No Cooking
400,34,54,76,83,34.6,18.2,53.58,No Cooking
400,32,55,78,84,34.6,18.2,51.67,No Cooking
400,26,54,76,83,34.6,18.2,51.03,No Cooking
400,20,55,76,83,34.6,18.3,55.01,No Cooking
400,18,56,76,83,34.6,18.2,50.99,No Cooking
400,17,56,76,83,34.6,18.2,55.94,No Cooking
400,24,56,76,83,34.6,18.3,52.85,No Cooking
400,22,55,75,83,34.6,18.2,50.38,No Cooking
400,16,56,76,84,34.6,18.2,50.88,No Cooking
400,16,56,77,84,34.6,18.2,56.84,No Cooking
400,13,55,76,83,34.6,18.2,52.09,No Cooking
400,10,56,77,84,34.6,18.2,56.51,No Cooking
400,14,56,77,84,34.6,18.2,56.86,No Cooking
400,14,56,76,83,34.6,18.2,51.95,No Cooking
400,9,56,76,83,34.6,18.2,53.35,No Cooking
400,9,56,76,83,34.6,18.2,50.61,No Cooking
400,4,56,76,83,34.6,18.2,52.3,No Cooking
400,10,56,78,84,34.6,18.2,56.48,No Cooking
400,7,56,78,84,34.6,18.2,56.12,No Cooking
400,1,55,77,84,34.6,18.2,53.62,No Cooking
400,7,55,78,84,34.6,18.2,54.24,No Cooking
400,7,56,79,84,34.6,18.2,52.61,No Cooking
400,3,56,78,84,34.6,18.2,52.47,No Cooking
400,6,56,78,84,34.6,18.2,52.26,No Cooking
400,0,56,78,83,34.6,18.2,50.94,No Cooking
400,1,55,76,82,34.5,18.2,53.51,No Cooking
400,0,56,77,82,34.6,18.2,53.19,No Cooking
400,0,56,77,82,34.6,18.2,51.14,No Cooking
400,0,56,77,82,34.6,18.2,50.69,No Cooking
400,0,55,76,81,34.6,18.2,54.92,No Cooking
400,0,56,77,82,34.6,18.2,50.78,No Cooking
400,0,55,76,81,34.6,18.2,51.72,No Cooking
400,0,56,78,83,34.6,18.2,55.74,No Cooking
400,0,56,77,83,34.6,18.2,50.52,No Cooking
400,0,56,78,83,34.6,18.2,54.28,No Cooking
400,0,57,79,84,34.6,18.2,53.02,No Cooking
400,0,57,78,84,34.6,18.2,56.3,No Cooking
400,0,57,78,84,34.5,18.2,51.97,No Cooking
400,0,56,77,83,34.6,18.2,55.35,No Cooking
400,0,56,78,84,34.6,18.2,52.12,No Cooking
400,0,55,77,83,34.6,18.2,52.64,No Cooking
400,0,56,78,84,34.6,18.3,51.82,No Cooking
400,0,56,78,84,34.6,18.3,56.06,No Cooking
400,0,55,77,82,34.6,18.3,52.2,No Cooking
400,0,57,79,83,34.7,18.3,50.64,No Cooking
400,0,57,78,83,34.6,18.3,52.13,No Cooking
400,0,56,77,81,34.6,18.2,53.47,No Cooking
400,0,57,77,82,34.6,18.3,51.06,No Cooking
400,0,57,76,81,34.7,18.3,56.09,No Cooking
400,0,56,75,81,34.6,18.3,55.77,No Cooking
400,0,56,73,81,34.7,18.3,50.39,No Cooking
400,0,54,72,80,34.7,18.3,51.01,No Cooking
400,0,54,72,80,34.7,18.3,54.54,No Cooking
400,0,54,72,80,34.7,18.3,53.88,No Cooking
400,0,55,74,81,34.6,18.3,55.22,No Cooking
400,0,55,75,81,34.7,18.3,56.22,No Cooking
400,0,54,75,80,34.6,18.3,50.63,No Cooking
400,0,54,75,80,34.7,18.3,56.09,No Cooking
400,0,54,76,79,34.7,18.3,55.17,No Cooking
400,0,54,76,79,34.6,18.3,56.34,No Cooking
400,0,55,77,79,34.7,18.3,55.81,No Cooking
400,0,55,77,80,34.6,18.3,55.01,No Cooking
400,0,56,79,81,34.6,18.3,54.5,No Cooking
400,0,55,78,80,34.6,18.3,52.28,No Cooking
400,0,55,78,80,34.6,18.3,50.79,No Cooking
400,0,56,79,81,34.6,18.3,52.91,No Cooking
400,0,56,79,81,34.7,18.3,50.24,No Cooking
400,0,55,78,80,34.6,18.2,50.05,No Cooking
400,0,55,78,80,34.6,18.3,55.58,No Cooking
400,0,55,78,80,34.6,18.3,50.71,No Cooking
400,0,56,78,81,34.6,18.3,50.33,No Cooking
400,0,56,78,81,34.7,18.3,50.32,No Cooking
400,0,55,76,80,34.7,18.3,53.76,No Cooking
400,0,54,76,80,34.6,18.3,50.65,No Cooking
400,0,55,77,81,34.6,18.3,51.74,No Cooking
400,0,54,76,81,34.6,18.3,51.26,No Cooking
400,0,54,76,81,34.6,18.2,50.43,No Cooking
400,0,55,78,82,34.6,18.2,52.3,No Cooking
400,0,55,78,81,34.6,18.3,53.06,No Cooking
400,0,55,78,81,34.6,18.2,56.65,No Cooking
400,0,55,77,81,34.6,18.3,51.14,No Cooking
400,0,54,76,80,34.6,18.2,55.94,No Cooking
400,0,55,77,81,34.6,18.2,56.65,No Cooking
400,0,55,76,81,34.6,18.2,51.86,No Cooking
400,0,55,76,81,34.6,18.2,50.99,No Cooking
400,0,54,75,80,34.6,18.2,53.91,No Cooking
400,0,55,75,80,34.6,18.2,52.45,No Cooking
400,0,55,75,80,34.5,18.2,51.9,No Cooking
400,0,56,77,81,34.6,18.2,54.51,No Cooking
400,0,55,76,80,34.6,18.2,56.42,No Cooking
400,0,57,77,81,34.6,18.2,53.27,No Cooking
400,0,56,76,80,34.6,18.2,52.26,No Cooking
400,0,56,77,81,34.6,18.2,51.02,No Cooking
400,0,56,77,82,34.6,18.2,53.2,No Cooking
400,0,58,79,83,34.6,18.2,54.14,No Cooking
400,0,58,79,84,34.6,18.2,52.42,No Cooking
400,0,57,78,82,34.6,18.2,56.38,No Cooking
400,0,57,77,82,34.6,18.2,54.27,No Cooking
400,0,57,77,82,34.6,18.2,55.52,No Cooking
400,0,58,78,83,34.6,18.2,53.45,No Cooking
400,0,58,78,83,34.6,18.2,52.3,No Cooking
400,0,58,77,83,34.5,18.2,56.64,No Cooking
400,0,58,77,83,34.6,18.2,53.41,No Cooking
400,0,59,78,83,34.6,18.2,55.18,No Cooking
400,0,60,80,85,34.6,18.2,54.64,No Cooking
400,0,61,80,86,34.5,18.2,54.2,No Cooking
400,0,60,80,86,34.6,18.2,51.79,No Cooking
400,0,61,81,87,34.6,18.2,51.22,No Cooking
400,0,60,80,87,34.6,18.2,50.56,No Cooking
400,0,60,79,86,34.6,18.2,53.57,No Cooking
400,0,61,80,87,34.6,18.2,51.48,No Cooking
400,0,61,80,87,34.6,18.2,51.53,No Cooking
400,0,61,80,87,34.6,18.2,56.38,No Cooking
400,0,61,80,86,34.6,18.3,51.08,No Cooking
400,0,60,79,85,34.6,18.2,51.75,No Cooking
400,0,60,80,84,34.6,18.2,50.47,No Cooking
400,0,61,81,85,34.6,18.3,52.33,No Cooking
400,0,60,80,84,34.6,18.2,56.79,No Cooking
400,0,61,81,84,34.6,18.2,50.02,No Cooking
400,0,60,79,83,34.6,18.2,55.78,No Cooking
400,0,60,80,84,34.6,18.3,54.5,No Cooking
400,0,60,80,84,34.7,18.3,50.12,No Cooking
400,0,60,79,84,34.6,18.3,52.56,No Cooking
400,0,59,78,82,34.6,18.3,56.75,No Cooking
400,0,58,78,82,34.6,18.3,50.86,No Cooking
400,0,59,79,82,34.6,18.3,50.35,No Cooking
400,0,58,78,81,34.6,18.2,54.35,No Cooking
400,0,59,79,82,34.6,18.3,53.86,No Cooking
400,0,58,78,82,34.6,18.3,50.68,No Cooking
400,0,58,78,82,34.7,18.3,51.49,No Cooking
400,0,59,80,84,34.7,18.3,52.53,No Cooking
400,0,58,79,83,34.7,18.3,53.91,No Cooking
400,0,58,79,84,34.7,18.3,52.16,No Cooking
400,0,58,80,84,34.7,18.3,54.47,No Cooking
400,0,59,81,85,34.6,18.3,51.03,No Cooking
400,0,58,81,85,34.7,18.3,50.83,No Cooking
400,0,57,80,85,34.7,18.3,50.43,No Cooking
400,0,57,80,85,34.7,18.3,52.52,No Cooking
400,0,56,80,85,34.7,18.3,55.13,No Cooking
400,0,57,81,86,34.6,18.3,52.55,No Cooking
400,0,56,80,86,34.7,18.3,53.23,No Cooking
400,0,56,79,85,34.7,18.3,55.5,No Cooking
400,0,56,79,85,34.7,18.3,53.5,No Cooking
400,0,57,80,86,34.7,18.3,54.62,No Cooking
400,0,56,79,85,34.7,18.3,52.59,No Cooking
400,0,56,79,84,34.7,18.3,53.19,No Cooking
400,0,56,79,84,34.7,18.3,53.44,No Cooking
400,0,57,78,84,34.7,18.3,52.9,No Cooking
400,0,57,78,83,34.7,18.3,52.5,No Cooking
400,0,57,78,83,34.7,18.3,52.33,No Cooking
400,0,57,78,84,34.7,18.3,55.03,No Cooking
400,0,57,78,84,34.7,18.3,53.96,No Cooking
400,0,58,78,84,34.7,18.3,56.98,No Cooking
400,0,58,78,84,34.7,18.3,51.09,No Cooking
400,0,59,79,85,34.7,18.3,54.56,No Cooking
400,0,58,78,84,34.7,18.4,55.92,No Cooking
400,0,59,79,84,34.7,18.3,50.94,No Cooking
400,0,57,77,83,34.7,18.3,53.97,No Cooking
400,0,57,77,82,34.7,18.4,54.77,No Cooking
400,0,57,77,82,34.7,18.3,55.63,No Cooking
400,0,58,76,81,34.7,18.3,52.14,No Cooking
400,0,58,76,80,34.7,18.3,50.66,No Cooking
400,0,57,75,80,34.7,18.3,52.36,No Cooking
400,0,57,75,80,34.7,18.3,54.25,No Cooking
400,0,57,75,80,34.7,18.4,53.71,No Cooking
400,0,56,75,80,34.7,18.4,52.99,No Cooking
400,0,56,75,80,34.7,18.3,51.97,No Cooking
400,0,56,75,80,34.7,18.3,53.64,No Cooking
400,0,56,75,81,34.7,18.3,51.94,No Cooking
400,0,56,75,81,34.7,18.3,51.42,No Cooking
400,0,56,75,82,34.7,18.3,54.38,No Cooking
400,0,57,75,83,34.7,18.3,55.15,No Cooking
400,0,57,75,83,34.7,18.3,51.81,No Cooking
400,0,57,75,83,34.7,18.3,50.69,No Cooking
400,0,57,74,82,34.7,18.3,54.54,No Cooking
400,0,57,74,80,34.7,18.3,55.82,No Cooking
400,0,57,74,81,34.7,18.3,54.86,No Cooking
400,0,57,73,80,34.7,18.3,50.21,No Cooking
400,0,57,73,79,34.7,18.3,53.56,No Cooking
400,0,56,73,78,34.7,18.3,52.02,No Cooking
400,0,56,73,78,34.7,18.3,54.44,No Cooking
400,0,55,73,77,34.7,18.3,54.86,No Cooking
400,0,54,73,78,34.7,18.3,53.6,No Cooking
400,0,54,73,78,34.7,18.3,51.06,No Cooking
400,0,55,75,79,34.7,18.3,56.57,No Cooking
400,0,54,74,78,34.7,18.3,52.62,No Cooking
400,0,55,76,80,34.7,18.3,50.02,No Cooking
400,0,55,76,80,34.7,18.3,53.92,No Cooking
400,0,54,76,79,34.7,18.3,51.08,No Cooking
400,0,54,77,80,34.7,18.3,56.83,No Cooking
400,0,53,76,79,34.7,18.3,54.08,No Cooking
400,0,54,77,80,34.7,18.3,51.94,No Cooking
400,0,54,77,81,34.7,18.3,52.9,No Cooking
400,0,53,75,80,34.7,18.3,56.93,No Cooking
400,0,53,75,80,34.7,18.3,55.05,No Cooking
400,0,54,76,81,34.7,18.3,50.68,No Cooking
400,0,54,76,81,34.7,18.3,55.26,No Cooking
400,0,53,75,80,34.6,18.3,56.25,No Cooking
400,0,54,75,81,34.7,18.3,52.24,No Cooking
400,0,53,75,80,34.6,18.3,55.97,No Cooking
400,0,52,73,78,34.6,18.3,55.73,No Cooking
400,0,53,74,79,34.6,18.3,50.47,No Cooking
400,0,52,73,77,34.6,18.3,50.82,No Cooking
400,0,52,73,77,34.7,18.3,55.08,No Cooking
400,0,54,74,78,34.7,18.3,53.22,No Cooking
400,0,54,74,78,34.7,18.3,53.59,No Cooking
400,0,54,75,78,34.7,18.3,52.22,No Cooking
400,0,54,74,78,34.7,18.3,56.3,No Cooking
400,0,55,75,79,34.7,18.3,52.95,No Cooking
400,0,55,75,80,34.7,18.3,56.77,No Cooking
400,0,55,75,80,34.7,18.3,53.18,No Cooking
400,0,55,75,80,34.6,18.3,53.69,No Cooking
400,0,55,75,80,34.7,18.3,52.54,No Cooking
400,0,55,75,81,34.7,18.3,51.48,No Cooking
400,0,54,75,80,34.6,18.3,55.59,No Cooking
400,0,55,76,81,34.6,18.3,52.42,No Cooking
400,0,55,76,81,34.7,18.3,51.88,No Cooking
400,0,55,75,81,34.6,18.3,54.18,No Cooking
400,0,54,75,81,34.6,18.3,50.21,No Cooking
400,0,54,75,82,34.7,18.2,54.71,No Cooking
400,0,54,75,82,34.6,18.2,54.86,No Cooking
400,0,53,74,82,34.6,18.2,51.21,No Cooking
400,0,52,74,81,34.6,18.2,50.56,No Cooking
400,0,52,74,81,34.6,18.2,50.18,No Cooking
400,0,51,73,80,34.6,18.3,50.56,No Cooking
400,0,51,72,79,34.6,18.2,50.61,No Cooking
400,0,52,73,80,34.6,18.2,53.91,No Cooking
400,0,51,72,79,34.6,18.2,54.41,No Cooking
400,0,53,73,80,34.6,18.2,53.65,No Cooking
400,0,52,72,78,34.6,18.2,56.36,No Cooking
400,0,53,73,79,34.6,18.2,54.5,No Cooking
401,0,52,71,77,34.6,18.2,53.99,No Cooking
401,0,52,71,76,34.6,18.2,55.24,No Cooking
401,0,52,71,75,34.6,18.2,50.04,No Cooking
401,0,52,70,75,34.6,18.2,51.37,No Cooking
401,0,52,71,75,34.5,18.2,51.96,No Cooking
401,0,51,70,74,34.6,18.2,53.23,No Cooking
401,0,51,70,73,34.6,18.2,56.48,No Cooking
402,0,52,70,73,34.5,18.2,56.38,No Cooking
402,0,52,70,73,34.5,18.2,53.98,No Cooking
401,0,52,71,74,34.5,18.2,50.32,No Cooking
401,0,53,71,75,34.6,18.2,50.17,No Cooking
401,0,53,72,76,34.6,18.2,54.41,No Cooking
401,0,53,72,76,34.6,18.2,56.64,No Cooking
401,0,53,72,77,34.5,18.2,54.73,No Cooking
400,0,53,73,77,34.6,18.2,56.78,No Cooking
400,0,52,73,78,34.5,18.2,50.72,No Cooking
401,0,52,73,78,34.5,18.2,56.2,No Cooking
401,0,52,73,78,34.5,18.2,54.71,No Cooking
401,0,52,73,78,34.5,18.2,55.58,No Cooking
401,0,52,73,78,34.5,18.2,50.27,No Cooking
402,0,52,74,78,34.5,18.2,53.31,No Cooking
401,0,52,74,78,34.5,18.2,55.38,No Cooking
401,0,51,74,78,34.6,18.2,56.55,No Cooking
401,0,52,75,79,34.5,18.2,56.59,No Cooking
401,0,52,75,79,34.6,18.2,54.23,No Cooking
401,0,52,75,79,34.6,18.2,55.13,No Cooking
400,0,53,75,80,34.6,18.2,52.38,No Cooking
400,0,53,75,80,34.6,18.2,56.22,No Cooking
400,0,54,75,80,34.6,18.2,52.62,No Cooking
401,0,54,75,80,34.6,18.2,55.4,No Cooking
401,0,53,74,80,34.6,18.2,56.64,No Cooking
400,0,54,75,81,34.6,18.2,54.88,No Cooking
400,0,54,75,81,34.6,18.2,52.96,No Cooking
400,0,53,74,80,34.6,18.2,51.42,No Cooking
400,0,53,74,80,34.6,18.2,56.93,No Cooking
400,0,54,75,81,34.6,18.2,56.64,No Cooking
400,0,53,74,81,34.6,18.2,50.77,No Cooking
400,0,53,75,81,34.6,18.2,51.69,No Cooking
400,0,54,76,82,34.6,18.2,50.74,No Cooking
400,0,54,76,82,34.6,18.2,55.48,No Cooking
400,0,53,76,82,34.6,18.2,51.17,No Cooking
